,name,type,episodes,members,score_members,rating,genre,dates,url
0,Alice or Alice,TV,12.0,27067.0,9397.0,5.36,"['Seinen', 'Slice of Life']",        Apr 2018 - Jun 2018,https://myanimelist.net/anime/36001/Alice_or_Alice
1,Crocotires Traction AAA,Movie,1.0,282.0,144.0,5.36,['Sports'],        1999 - 1999,https://myanimelist.net/anime/34716/Crocotires_Traction_AAA
2,Houkago no Pleiades: Manner Movie,Movie,1.0,2183.0,629.0,5.36,['Magic'],        Jun 2011 - Jun 2011,https://myanimelist.net/anime/10710/Houkago_no_Pleiades__Manner_Movie
3,Kaitou Reinya Pilot,Special,1.0,642.0,357.0,5.36,['Comedy'],        Jun 2010 - Jun 2010,https://myanimelist.net/anime/18375/Kaitou_Reinya_Pilot
4,Keitai Shoujo,ONA,6.0,4564.0,1743.0,5.36,"['Comedy', 'Romance', 'School', 'Drama']",        Mar 2007 - Apr 2007,https://myanimelist.net/anime/1725/Keitai_Shoujo
5,Master of Torque 2,ONA,1.0,553.0,179.0,5.36,"['Action', 'Sci-Fi']",        Mar 2015 - Mar 2015,https://myanimelist.net/anime/25393/Master_of_Torque_2
6,Misemono KenbutsuAt the Circus,Movie,1.0,223.0,122.0,5.36,['Kids'],        1931 - 1931,https://myanimelist.net/anime/35395/Misemono_Kenbutsu
7,Muteki We Are One!!,Music,1.0,643.0,323.0,5.36,['Music'],        Jun 2016 - Jun 2016,https://myanimelist.net/anime/36599/Muteki_We_Are_One
8,"Nonsense Monogatari Dai Ippen: SarugashimaNonsense Story, Volume 1: Monkey Island",Movie,1.0,615.0,197.0,5.36,['Adventure'],        Feb 1931 - Feb 1931,https://myanimelist.net/anime/28695/Nonsense_Monogatari_Dai_Ippen__Sarugashima
9,Ponsuke no HaruSpring Comes to Ponsuke,Movie,1.0,379.0,195.0,5.36,"['Comedy', 'Kids']",        Aug 1934 - Aug 1934,https://myanimelist.net/anime/23089/Ponsuke_no_Haru
10,Promised Town,ONA,1.0,528.0,174.0,5.36,"['Action', 'Mecha', 'Sci-Fi']",        Jun 2016 - Jun 2016,https://myanimelist.net/anime/33493/Promised_Town
11,Saboten ga Nikui,Music,1.0,249.0,124.0,5.36,"['Music', 'Comedy', 'Kids']",        Jun 1988 - Jun 1988,https://myanimelist.net/anime/8679/Saboten_ga_Nikui
12,Suzume no OyadoThe Sparrows' Lodge,Movie,1.0,567.0,289.0,5.36,['Fantasy'],        1936 - 1936,https://myanimelist.net/anime/6827/Suzume_no_Oyado
13,the FLY BanD!,Special,1.0,197.0,102.0,5.36,['Music'],        1998 - 1998,https://myanimelist.net/anime/34719/the_FLY_BanD
14,Tomoe ga Yuku!,OVA,2.0,840.0,223.0,5.36,"['Action', 'Drama', 'Romance', 'Thriller', 'Shoujo']",        Oct 1991 - Jan 1992,https://myanimelist.net/anime/4927/Tomoe_ga_Yuku
15,Tora-chan no Kankan Mushi,Movie,1.0,608.0,332.0,5.36,['Drama'],        1950 - 1950,https://myanimelist.net/anime/10743/Tora-chan_no_Kankan_Mushi
16,Urawa no Usagi-chan Special,Special,1.0,1672.0,541.0,5.36,"['Comedy', 'School', 'Slice of Life']",        Oct 2015 - Oct 2015,https://myanimelist.net/anime/31426/Urawa_no_Usagi-chan_Special
17,Zekkyou Gakkyuu,Special,3.0,3576.0,1614.0,5.36,"['Shoujo', 'Supernatural']",        Oct 2012 - Nov 2012,https://myanimelist.net/anime/15891/Zekkyou_Gakkyuu
18,Zettai Junpaku♡Mahou Shoujo,OVA,1.0,10936.0,5108.0,5.36,"['Action', 'Ecchi', 'Harem', 'Magic']",        Aug 2012 - Aug 2012,https://myanimelist.net/anime/16656/Zettai_Junpaku♡Mahou_Shoujo
19,48x61,ONA,1.0,1530.0,837.0,5.35,"['Sports', 'Comedy']",        2002 - 2002,https://myanimelist.net/anime/10979/48x61
20,Crescendo Story,Music,1.0,407.0,233.0,5.35,['Music'],        Jun 2018 - Jun 2018,https://myanimelist.net/anime/38047/Crescendo_Story
21,Doamaiger DDoamayger-D,TV,13.0,1459.0,535.0,5.35,"['Action', 'Comedy', 'Mecha']",        Jan 2015 - Mar 2015,https://myanimelist.net/anime/27785/Doamaiger_D
22,Donna Donna,Music,1.0,316.0,150.0,5.35,"['Music', 'Slice of Life', 'Kids']",        Feb 1966 - Feb 1966,https://myanimelist.net/anime/8719/Donna_Donna
23,Green Dakara x Mirai no Mirai,ONA,2.0,1151.0,385.0,5.35,['Music'],        Jul 2018 - Jul 2018,https://myanimelist.net/anime/38028/Green_Dakara_x_Mirai_no_Mirai
24,Idol Ace,ONA,1.0,804.0,395.0,5.35,['Comedy'],        2005 - 2005,https://myanimelist.net/anime/7569/Idol_Ace
25,Karma,Movie,1.0,272.0,117.0,5.35,['Dementia'],        1977 - 1977,https://myanimelist.net/anime/29661/Karma
26,Makeruna!! Aku no Gundan!,TV,12.0,1571.0,608.0,5.35,"['Comedy', 'Shounen']",        Apr 2017 - Jun 2017,https://myanimelist.net/anime/34888/Makeruna_Aku_no_Gundan
27,Ni-hiki no Sanma (1968),Movie,1.0,366.0,194.0,5.35,['Comedy'],        1968 - 1968,https://myanimelist.net/anime/29701/Ni-hiki_no_Sanma_1968
28,Ofuro no Kazoe Uta,Music,1.0,237.0,120.0,5.35,"['Music', 'Kids']",        1980 - 1980,https://myanimelist.net/anime/28197/Ofuro_no_Kazoe_Uta
29,Outsider:Requiem-OutsideR:RequieM-,Music,1.0,506.0,275.0,5.35,['Music'],        Jan 2018 - Jan 2018,https://myanimelist.net/anime/37356/Outsider_Requiem
30,Sakura,Movie,1.0,690.0,330.0,5.35,['Fantasy'],        1946 - 1946,https://myanimelist.net/anime/15455/Sakura
31,Shadowverse (TV),TV,,5673.0,1179.0,5.34,"['Fantasy', 'Game']",        Apr 2020 - ,https://myanimelist.net/anime/40506/Shadowverse_TV
32,Shin Saru Kani Gassen,Movie,1.0,411.0,175.0,5.35,['Drama'],        1936 - 1936,https://myanimelist.net/anime/30045/Shin_Saru_Kani_Gassen
33,Sono Me ga Mitsumeru Mono,ONA,1.0,3460.0,950.0,5.35,"['Fantasy', 'Shounen']",        Jun 2017 - Jun 2017,https://myanimelist.net/anime/36239/Sono_Me_ga_Mitsumeru_Mono
34,Tonari no Onigiri-kun,Special,3.0,639.0,188.0,5.35,['Slice of Life'],        Aug 2016 - Nov 2016,https://myanimelist.net/anime/34050/Tonari_no_Onigiri-kun
35,Twinkle Heart: Gingakei made Todokanai,OVA,1.0,771.0,262.0,5.35,"['Adventure', 'Comedy', 'Space']",        Dec 1986 - Dec 1986,https://myanimelist.net/anime/10355/Twinkle_Heart__Gingakei_made_Todokanai
36,Wild 7 Another Bouryaku UngaWild 7 Another,TV,13.0,667.0,163.0,5.35,"['Action', 'Adventure', 'Police', 'Shounen']",        Apr 2002 - Aug 2002,https://myanimelist.net/anime/1745/Wild_7_Another_Bouryaku_Unga
37,1/100 Shibuya Crossing,ONA,1.0,474.0,272.0,5.34,['Slice of Life'],        Jun 2015 - Jun 2015,https://myanimelist.net/anime/36746/1_100_Shibuya_Crossing
38,77Danui Bimil,Movie,1.0,340.0,108.0,5.34,"['Action', 'Drama']",        1978 - 1978,https://myanimelist.net/anime/16812/77Danui_Bimil
39,AKB48 Stage Fighter,Special,1.0,762.0,300.0,5.34,['Action'],        Oct 2011 - Oct 2011,https://myanimelist.net/anime/29850/AKB48_Stage_Fighter
40,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,Special,3.0,3522.0,1281.0,5.34,"['Comedy', 'Ecchi']",        Apr 2014 - Apr 2014,https://myanimelist.net/anime/30739/Ane_Log__Moyako_Neesan_no_Honpen_wo_Tobidashite_Tomaranai_Monologue_Specials
41,Bokura no Hero,Music,1.0,388.0,159.0,5.34,['Music'],        Jun 2010 - Jun 2010,https://myanimelist.net/anime/15525/Bokura_no_Hero
42,Home My Home,Movie,1.0,251.0,114.0,5.34,"['Music', 'Kids']",        1970 - 1970,https://myanimelist.net/anime/29587/Home_My_Home
43,Joubuna Tire!,Special,1.0,472.0,251.0,5.34,['Cars'],        1980 - 1980,https://myanimelist.net/anime/34930/Joubuna_Tire
44,KageShadow,Movie,1.0,302.0,116.0,5.34,"['Drama', 'Historical']",        1967 - 1967,https://myanimelist.net/anime/29677/Kage
45,Mayo Elle Otoko no Ko,OVA,1.0,1148.0,149.0,5.34,"['Comedy', 'School']",        Nov 2010 - Nov 2010,https://myanimelist.net/anime/9337/Mayo_Elle_Otoko_no_Ko
46,Nido to Mezamenu Komori UtaThe Death Lullaby,Movie,1.0,1370.0,544.0,5.34,"['Dementia', 'Drama']",        1985 - 1985,https://myanimelist.net/anime/7273/Nido_to_Mezamenu_Komori_Uta
47,Pikotarou no Lullaby LullabyPikotaro's Lullaby La La By (Web),ONA,3.0,1410.0,808.0,5.34,"['Comedy', 'Parody']",        Jul 2017 - Jul 2017,https://myanimelist.net/anime/36520/Pikotarou_no_Lullaby_Lullaby
48,Super Mario World: Mario to Yoshi no Bouken Land,OVA,1.0,850.0,426.0,5.34,"['Game', 'Comedy', 'Kids']",        1991 - 1991,https://myanimelist.net/anime/32521/Super_Mario_World__Mario_to_Yoshi_no_Bouken_Land
49,Toei Robot Girls,ONA,1.0,1786.0,705.0,5.34,"['Parody', 'Mecha', 'Sci-Fi']",        Jul 2011 - Jul 2011,https://myanimelist.net/anime/10954/Toei_Robot_Girls
