,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Itsuka Aeru Kimi ni,,ONA,1.0,1279.0,,5.71,"['Romance', 'Sci-Fi']",        Oct 2018 - Oct 2018,https://myanimelist.net/anime/38473/Itsuka_Aeru_Kimi_ni
1,Jikuu Tenshou Nazca,Dimension Movement of Nazca,TV,12.0,4961.0,,5.7,"['Action', 'Adventure', 'Drama', 'Magic', 'Fantasy']",        Apr 1998 - Jun 1998,https://myanimelist.net/anime/1775/Jikuu_Tenshou_Nazca
2,Mayonaka wa Junketsu,Chastity at Midnight,Music,1.0,313.0,,5.7,"['Action', 'Music']",        Mar 2001 - Mar 2001,https://myanimelist.net/anime/22093/Mayonaka_wa_Junketsu
3,Mobile Suit Gundam 0083: Stardust Memory Picture Drama - The Mayfly of Space 2,,Special,1.0,1421.0,,5.68,"['Action', 'Space', 'Mecha']",        Jan 2016 - Jan 2016,https://myanimelist.net/anime/32898/Mobile_Suit_Gundam_0083__Stardust_Memory_Picture_Drama_-_The_Mayfly_of_Space_2
4,Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei,,Movie,1.0,2395.0,,5.69,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",        Nov 2017 - Nov 2017,https://myanimelist.net/anime/36436/Mobile_Suit_Gundam__Twilight_Axis_-_Akaki_Zan-ei
5,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,,Special,1.0,1540.0,,5.69,"['Mecha', 'Military']",        Sep 2001 - Sep 2001,https://myanimelist.net/anime/20667/Mobile_Suit_Gundam__Zeonic_Front_-_Indignation_of_Zeon
6,Phantasy Star Online 2: Episode Oracle - Xiao's Report,Phantasy Star Online 2: Episode Oracle,Special,1.0,995.0,,5.7,"['Action', 'Sci-Fi', 'Space']",        Dec 2019 - Dec 2019,https://myanimelist.net/anime/40948/Phantasy_Star_Online_2__Episode_Oracle_-_Xiaos_Report
7,Planetes Picture Drama,,Special,9.0,1774.0,,5.68,"['Comedy', 'Sci-Fi', 'Space']",        Sep 2009 - Sep 2009,https://myanimelist.net/anime/10735/Planetes_Picture_Drama
8,Ryuu Seiki,Dragon Century,OVA,2.0,1569.0,,5.69,"['Action', 'Fantasy', 'Demons', 'Sci-Fi']",        Oct 1988 - Dec 1988,https://myanimelist.net/anime/4318/Ryuu_Seiki
9,Shijin no Shougai,A Poet's Life,Movie,1.0,1095.0,,5.7,"['Drama', 'Fantasy', 'Psychological']",        Jan 1974 - Jan 1974,https://myanimelist.net/anime/7257/Shijin_no_Shougai
10,Sin: Nanatsu no Taizai,Seven Mortal Sins,TV,12.0,98009.0,,5.7,"['Ecchi', 'Fantasy']",        Apr 2017 - Jul 2017,https://myanimelist.net/anime/33834/Sin__Nanatsu_no_Taizai
11,Sora to Umi no Aida,Between the Sky and Sea,TV,12.0,16702.0,,5.7,"['Sci-Fi', 'Adventure', 'Space', 'Fantasy']",        Oct 2018 - Dec 2018,https://myanimelist.net/anime/36000/Sora_to_Umi_no_Aida
12,Souten no Ken: Regenesis,Fist of the Blue Sky: Regenesis,ONA,12.0,9065.0,,5.7,"['Action', 'Historical', 'Martial Arts']",        Apr 2018 - Jun 2018,https://myanimelist.net/anime/36655/Souten_no_Ken__Regenesis
13,Strange+ Special,,Special,1.0,1940.0,,5.67,"['Slice of Life', 'Comedy', 'Josei']",        Apr 2014 - Apr 2014,https://myanimelist.net/anime/23679/Strange__Special
14,Such a Good Place to Die,,Movie,1.0,330.0,,5.73,['Dementia'],        Mar 2015 - Mar 2015,https://myanimelist.net/anime/34632/Such_a_Good_Place_to_Die
15,Superflat First Love,,Special,1.0,3097.0,,5.7,"['Adventure', 'Fantasy']",        Apr 2009 - Apr 2009,https://myanimelist.net/anime/6607/Superflat_First_Love
16,Usagi-chan de Cue!!,,OVA,3.0,4741.0,,5.69,"['Action', 'Comedy', 'Ecchi', 'Magic', 'Romance']",        Nov 2001 - Apr 2002,https://myanimelist.net/anime/991/Usagi-chan_de_Cue
17,White Fantasy,,Special,1.0,1017.0,,5.7,"['Fantasy', 'Sports']",        Dec 2014 - Dec 2014,https://myanimelist.net/anime/28775/White_Fantasy
18,Yuki no Yoru no Yume,Dream of a Snowy Night,Movie,1.0,310.0,,5.64,['Drama'],        1947 - 1947,https://myanimelist.net/anime/28055/Yuki_no_Yoru_no_Yume
19,Yumemakura Baku Twilight Gekijou,,OVA,4.0,833.0,,5.7,"['Horror', 'Psychological']",        May 1991 - Nov 1991,https://myanimelist.net/anime/12769/Yumemakura_Baku_Twilight_Gekijou
20,Yuugen Kaisha: Jiken File 00 - Hajimari wa Ayashiku mo Hanayaka ni,,Special,1.0,562.0,,5.7,"['Adventure', 'Comedy', 'Supernatural']",        Jul 1994 - Jul 1994,https://myanimelist.net/anime/15743/Yuugen_Kaisha__Jiken_File_00_-_Hajimari_wa_Ayashiku_mo_Hanayaka_ni
21,4-Day Weekend,,Music,1.0,2653.0,,5.69,['Music'],        Dec 1998 - Dec 1998,https://myanimelist.net/anime/3685/4-Day_Weekend
22,7-kakan.,,Music,1.0,597.0,,5.68,['Music'],        Jul 2015 - Jul 2015,https://myanimelist.net/anime/32853/7-kakan
23,AIKa: Special Trial,,Special,1.0,5715.0,,5.69,['Ecchi'],        May 1998 - May 1998,https://myanimelist.net/anime/4718/AIKa__Special_Trial
24,Around,,Movie,1.0,888.0,,5.7,['Slice of Life'],        2007 - 2007,https://myanimelist.net/anime/19233/Around
25,"Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.",,ONA,1.0,3635.0,,5.69,['Comedy'],        Dec 2012 - Dec 2012,https://myanimelist.net/anime/16936/Boku_no_Imouto_wa_Osaka_Okan__Haishin_Gentei_Osaka_Okan
26,Calm,,Movie,1.0,1250.0,,5.69,"['Dementia', 'Music']",        2007 - 2007,https://myanimelist.net/anime/29772/Calm
27,Chiruran: Nibun no Ichi,Chiruran 1/2,TV,12.0,6439.0,,5.69,"['Action', 'Comedy', 'Historical']",        Jan 2017 - Mar 2017,https://myanimelist.net/anime/34088/Chiruran__Nibun_no_Ichi
28,Committed Red,,Music,1.0,353.0,,5.69,['Music'],        Apr 2016 - Apr 2016,https://myanimelist.net/anime/33236/Committed_Red
29,Fire Emblem,,OVA,2.0,9586.0,,5.68,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",        Jan 1996 - Apr 1996,https://myanimelist.net/anime/2782/Fire_Emblem
30,Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?,,Movie,1.0,724.0,,5.69,"['Comedy', 'Parody']",        Jun 2013 - Jun 2013,https://myanimelist.net/anime/18109/Glass_no_Kamen_Desu_ga_the_Movie__Onna_Spy_no_Koi_Murasaki_no_Bara_wa_Kiken_na_Kaori
31,Hand Shakers: Go ago Go,,Special,1.0,5242.0,,5.69,['Action'],        Jul 2017 - Jul 2017,https://myanimelist.net/anime/35202/Hand_Shakers__Go_ago_Go
32,Idol Jihen,Idol Incidents,TV,12.0,11246.0,,5.68,['Music'],        Jan 2017 - Mar 2017,https://myanimelist.net/anime/34028/Idol_Jihen
33,Marvel Future Avengers,,TV,26.0,2712.0,,5.68,"['Action', 'Super Power', 'Kids']",        Jul 2017 - Jan 2018,https://myanimelist.net/anime/34975/Marvel_Future_Avengers
34,Mazinger ZIP!,,TV,237.0,655.0,,5.69,"['Comedy', 'Mecha']",        Apr 2013 - Mar 2014,https://myanimelist.net/anime/18365/Mazinger_ZIP
35,Meshimase Lodoss-tou Senki: Sorette Oishii no?,,TV,13.0,1918.0,,5.67,['Comedy'],        Apr 2014 - Jun 2014,https://myanimelist.net/anime/23229/Meshimase_Lodoss-tou_Senki__Sorette_Oishii_no
36,Minna Atsumare! Falcom Gakuen SC Special,,Special,1.0,567.0,,5.73,"['Parody', 'Comedy', 'School', 'Seinen']",        Mar 2015 - Mar 2015,https://myanimelist.net/anime/30489/Minna_Atsumare_Falcom_Gakuen_SC_Special
37,Norakuro Nitouhei,,Movie,1.0,283.0,,5.69,['Kids'],        1935 - 1935,https://myanimelist.net/anime/30018/Norakuro_Nitouhei
38,Sakura Taisen: Kanadegumi,,Music,1.0,2361.0,,5.67,"['Music', 'Shoujo']",        Sep 2012 - Sep 2012,https://myanimelist.net/anime/15127/Sakura_Taisen__Kanadegumi
39,Seisen Cerberus: Ryuukoku no Fatalités,Cerberus,TV,13.0,78976.0,,5.68,"['Adventure', 'Fantasy']",        Apr 2016 - Jun 2016,https://myanimelist.net/anime/32595/Seisen_Cerberus__Ryuukoku_no_Fatalités
40,Shinkai no Kantai: Submarine 707,,OVA,1.0,593.0,,5.66,"['Action', 'Adventure', 'Military', 'Sci-Fi']",        Jan 1997 - Jan 1997,https://myanimelist.net/anime/16251/Shinkai_no_Kantai__Submarine_707
41,Show By Rock!!: Plasmagica na Gogo,,ONA,3.0,1429.0,,5.68,['Comedy'],        May 2013 - Jun 2013,https://myanimelist.net/anime/31073/Show_By_Rock__Plasmagica_na_Gogo
